level,word,quiz_sentence
2,Abandon,"When the storm intensified and water began flooding the lower decks, the captain reluctantly gave the order to <blank> ship."
2,Abandon,"Sarah felt guilty about her decision to <blank> her piano lessons after five years, but her new job required too much time."
2,Abandon,"The detective found clues suggesting the family had to <blank> their home in a hurry, leaving behind valuable possessions and personal belongings."
2,Abandon,"After three unsuccessful attempts to climb the treacherous north face, the expedition team decided to <blank> their summit attempt."
2,Abandon,The council's plan to <blank> the old railway line sparked protests from local residents who cherished the historic route.
2,Abandon,"Marcus watched his older brother <blank> their childhood dream of opening a restaurant together, choosing instead to pursue a career in law."
2,Abandon,"The wildlife sanctuary refused to <blank> the injured owl, nursing it back to health despite the significant cost and effort required."
2,Abandon,"When the earthquake struck, residents had mere minutes to <blank> their homes and flee to higher ground."
2,Abandon,The author's decision to <blank> her unfinished manuscript came after years of writer's block and self-doubt.
2,Abandon,"Rather than <blank> hope after the disappointing test results, Dr. Chen proposed a completely different treatment approach."
2,Abashed,"When the teacher praised his essay in front of the entire class, Timothy felt <blank> and his cheeks turned bright red."
2,Abashed,Catherine looked <blank> when she realised she had been singing loudly along to her headphones on the crowded train.
2,Abashed,The usually confident barrister appeared genuinely <blank> after mispronouncing the defendant's name three times in succession.
2,Abashed,"Finding himself caught in a lie about his whereabouts, James stood there looking thoroughly <blank> and unable to meet anyone's eyes."
2,Abashed,Emma felt <blank> when her grandmother revealed that she'd overheard her complaining about the knitted jumper she'd received as a gift.
2,Abashed,The renowned chef looked somewhat <blank> when a young apprentice politely corrected his technique for making béarnaise sauce.
2,Abashed,"After accidentally sending a text criticising her boss to her boss instead of her friend, Sophie felt utterly <blank>."
2,Abashed,The politician appeared <blank> when a journalist quoted his contradictory statements from previous interviews back to him.
2,Abashed,Daniel felt <blank> when he realised the woman he'd been lecturing about local history was actually the museum curator.
2,Abashed,The children looked <blank> when their elaborate plan to surprise their mother was discovered before her birthday.
2,Absence,The sudden <blank> of birdsong in the garden made Eleanor suspect that a predator was lurking nearby.
2,Absence,"After three weeks of unexplained <blank> from work, Mr. Patterson's colleagues began to worry about his wellbeing."
2,Absence,The complete <blank> of evidence at the crime scene puzzled the forensic team and suggested professional involvement.
2,Absence,"During his month-long <blank> from school, Oliver missed the entire unit on trigonometry and struggled to catch up."
2,Absence,The notable <blank> of the company director from the crucial board meeting raised questions about her commitment to the merger.
2,Absence,Dr. Sharma's temporary <blank> from the surgery meant that patients had to wait longer for specialist appointments.
2,Absence,The conspicuous <blank> of any apology in his statement only fuelled the public's anger about the scandal.
2,Absence,"In the <blank> of clear instructions from headquarters, the regional manager had to make critical decisions independently."
2,Absence,The child's prolonged <blank> from her best friend's birthday party was noticed by everyone and required explanation.
2,Absence,The striking <blank> of modern technology in the remote village felt like stepping back in time fifty years.
2,Absolute,The mountaineering expedition required <blank> silence during the avalanche risk assessment to detect any threatening sounds.
2,Absolute,Her <blank> refusal to compromise on safety standards earned her both respect and criticism from different colleagues.
2,Absolute,The headmaster demanded <blank> honesty from students about who had vandalised the science laboratory equipment.
2,Absolute,"In <blank> darkness of the cave, the explorers had to rely entirely on their torches to navigate the narrow passages."
