level,word,sentence
3,abbreviate,We can _____ the word 'doctor' to 'Dr' when writing addresses.
3,abbreviate,They decided to _____ the document to save space.
3,abbreviate,The teacher asked us to _____ long words in our notes.
3,abbreviate,She learned how to _____ her name when signing forms.
3,abbreviate,We can _____ this phrase to make it shorter.
3,abbreviate,The secretary will _____ the address on the envelope.
3,abbreviate,Students often _____ difficult terms in their essays in class.
3,abbreviate,The author chose to _____ several technical terms during the lesson.
3,abbreviate,You should _____ the title to fit on one line.
3,abbreviate,The system can automatically _____ long file names at school.
3,aberrant,His _____ behaviour during the lesson surprised his classmates.
3,aberrant,The _____ results didn't match the expected pattern during the activity.
3,aberrant,She noticed something _____ about the situation in the library.
3,aberrant,The _____ weather was unusual for this time of year.
3,aberrant,His _____ response was completely unexpected during the discussion.
3,aberrant,The _____ pattern didn't follow the normal rules in the exercise.
3,aberrant,She found the _____ behaviour quite strange in the story.
3,aberrant,The _____ outcome puzzled the scientists during the task.
3,aberrant,His _____ actions confused his classmates in the practice session.
3,aberrant,The _____ data didn't fit the model in class.
3,abhorrent,The villain's _____ actions shocked everyone in the village.
3,abhorrent,His _____ behaviour was completely unacceptable during the lesson.
3,abhorrent,The _____ treatment of animals angered many people at school.
3,abhorrent,She found his _____ comments deeply offensive during the activity.
3,abhorrent,The _____ crime horrified the entire community in the library.
3,abhorrent,His _____ attitude towards others was appalling during the discussion.
3,abhorrent,The _____ act was condemned by everyone in the exercise.
3,abhorrent,She was shocked by the _____ behaviour in the story.
3,abhorrent,The _____ treatment was truly terrible during the task.
3,abhorrent,His _____ words upset everyone who heard them in the practice session.
3,abrasive,His _____ comments upset several of his classmates in class.
3,abrasive,The _____ surface scratched her hands during the lesson.
3,abrasive,She found his _____ manner quite unpleasant at school.
3,abrasive,The _____ material was uncomfortable to wear during the activity.
3,abrasive,His _____ tone made everyone uncomfortable in the library.
3,abrasive,The _____ texture was difficult to clean during the discussion.
3,abrasive,She didn't like his _____ way of speaking in the exercise.
3,abrasive,The _____ sandpaper was too coarse for the job.
3,abrasive,His _____ criticism hurt her feelings in the story.
3,abrasive,The _____ treatment damaged the surface during the task.
3,abundance,The garden had an _____ of colourful flowers in summer.
3,abundance,She found an _____ of shells on the beach.
3,abundance,The _____ of food was impressive in the long term.
3,abundance,He discovered an _____ of resources in class.
3,abundance,The _____ made everyone happy during the lesson during the lesson.
3,abundance,She was grateful for the _____ at school.
3,abundance,The _____ was more than enough during the activity.
3,abundance,He appreciated the _____ greatly in class in the library.
3,abundance,The _____ exceeded expectations at school during the discussion.
3,abundance,She marvelled at the _____ during the match in the exercise.
3,abundant,Wildlife was _____ in the forest near our village.
3,abundant,The garden had an _____ supply of vegetables in the story.
3,abundant,She found _____ evidence to support her theory during the task.
3,abundant,The library had an _____ collection of books in the practice session.
3,abundant,Resources were _____ in the wealthy region in class.
3,abundant,The area had _____ rainfall throughout the year during the lesson.
3,abundant,She discovered _____ amounts of treasure at school.
3,abundant,The forest was _____ with wildlife during the activity.
3,abundant,Opportunities were _____ for skilled workers in the library.
3,abundant,The region had _____ natural resources during the discussion.
3,accusatory,His _____ tone made her feel unfairly treated in the exercise.
3,accusatory,The _____ comment upset her on the trip in the story.
3,accusatory,She didn't like his _____ manner during the task.
3,accusatory,The _____ statement was harsh that morning in the practice session.
3,accusatory,He used an _____ approach during the lesson in class.
3,accusatory,The _____ nature of his words was clear during the lesson.
3,accusatory,She felt attacked by the _____ tone at school.
3,accusatory,His _____ attitude was unhelpful in class during the activity.
3,accusatory,The _____ remark was unnecessary at school in the library.
3,accusatory,She couldn't stand the _____ behaviour during the discussion.
3,acquainted,She became _____ with her new neighbours over tea.
3,acquainted,He was already _____ with the subject in the exercise.
3,acquainted,The students became _____ with the rules in the story.
3,acquainted,She made herself _____ with the procedure during the task.
3,acquainted,He got _____ with the new system quickly in the practice session.
3,acquainted,The team became _____ with each other in class.
3,acquainted,She was well _____ with the area during the lesson.
3,acquainted,He became _____ with the customs at school.
3,acquainted,The children got _____ with the routine during the activity.
3,acquainted,She made herself _____ with the facts in the library.
3,adequately,The project was _____ completed before the deadline during the discussion.
3,adequately,She performed _____ in the exam in the exercise.
3,adequately,The work was _____ done during the match in the story.
3,adequately,He prepared _____ for the presentation during the task.
3,adequately,The resources were _____ for the task in the practice session.
3,adequately,She explained it _____ for everyone to understand in class.
3,adequately,The preparation was _____ thorough on the trip during the lesson.
3,adequately,He answered _____ to pass that morning at school.
3,adequately,The solution was _____ effective during the lesson during the activity.
3,adequately,She managed _____ well in class in the library.
3,adherent,She was a devoted _____ of the conservation movement.
3,adherent,The _____ was committed to the cause during the discussion.
3,adherent,He became a loyal _____ of the idea in the exercise.
3,adherent,The _____ supported the leader wholeheartedly in the story.
3,adherent,She was a dedicated _____ of the philosophy during the task.
3,adherent,The _____ followed the principles closely in the practice session.
3,adherent,He was a strong _____ of the movement in class.
3,adherent,The _____ was passionate about the belief during the lesson.
3,adherent,She remained a faithful _____ throughout at school.
3,adherent,The _____ never wavered in support during the activity.
3,adjacent,The park is _____ to the school playground in the library.
3,adjacent,Her house was _____ to the library during the discussion.
3,adjacent,The two buildings were _____ to each other in the exercise.
3,adjacent,He sat in the seat _____ to the window.
3,adjacent,The room _____ to the kitchen was the dining room.
3,adjacent,She placed it _____ to the other items in the story.
3,adjacent,The field was _____ to the forest during the task.
3,adjacent,He lived in the house _____ to the shop.
3,adjacent,The area _____ to the river was flooded in the practice session.
3,adjacent,She stood _____ to her friend in class.
3,admirable,Her _____ courage inspired everyone around her during the lesson.
3,admirable,The _____ act was recognised by all at school.
3,admirable,He showed _____ determination at school during the activity.
3,admirable,The _____ behaviour was praised during the match in the library.
3,admirable,She demonstrated _____ qualities on the trip during the discussion.
3,admirable,The _____ effort was appreciated that morning in the exercise.
3,admirable,His _____ conduct set a good example in the story.
3,admirable,The _____ achievement was celebrated during the lesson during the task.
3,admirable,She showed _____ leadership in class in the practice session.
3,admirable,The _____ character was evident at school in class.
3,admission,_____ to the museum is free on Sundays during the lesson.
3,admission,She gained _____ to the exclusive club at school.
3,admission,The _____ process was straightforward during the match during the activity.
3,admission,He was granted _____ to the event in the library.
3,admission,The _____ fee was reasonable on the trip during the discussion.
3,admission,She applied for _____ to the university in the exercise.
3,admission,The _____ was granted immediately that morning in the story.
3,admission,He paid for _____ to the concert during the task.
3,admission,The _____ requirements were met during the lesson in the practice session.
3,admission,She received _____ to the building in class.
3,adversary,The chess player studied the moves of his _____ carefully.
3,adversary,She faced a formidable _____ in the competition during the lesson.
3,adversary,The _____ was skilled and determined at school.
3,adversary,He respected his _____ despite the rivalry during the activity.
3,adversary,The _____ proved to be challenging in the library.
3,adversary,She underestimated her _____ initially in class during the discussion.
3,adversary,The _____ had a strong strategy in the exercise.
3,adversary,He prepared thoroughly for his _____ in the story.
3,adversary,The _____ was well-prepared at school during the task.
3,adversary,She finally defeated her _____ during the match in the practice session.
3,aesthetic,The garden had great _____ appeal with its colourful flowers.
3,aesthetic,Her _____ sense made her a talented artist in class.
3,aesthetic,The _____ design impressed all the judges during the lesson.
3,aesthetic,He had an _____ appreciation for fine art at school.
3,aesthetic,The _____ quality of the painting was evident during the activity.
3,aesthetic,She considered the _____ value of the sculpture in the library.
3,aesthetic,The _____ arrangement was pleasing to the eye during the discussion.
3,aesthetic,His _____ choices were always excellent in the exercise.
3,aesthetic,The _____ beauty of the building was striking in the story.
3,aesthetic,She had a natural _____ understanding during the task.
3,affectionate,The _____ puppy licked everyone's faces with joy in the practice session.
3,affectionate,Her _____ nature made her popular with children in class.
3,affectionate,The _____ gesture brought tears to their eyes during the lesson.
3,affectionate,She gave him an _____ hug before leaving at school.
3,affectionate,The _____ letter made her feel special during the activity.
3,affectionate,Her _____ words comforted the upset child in the library.
3,affectionate,The _____ family always supported each other during the discussion.
3,affectionate,She had an _____ relationship with her grandparents in the exercise.
3,affectionate,The _____ teacher was loved by all her pupils.
3,affectionate,Her _____ smile brightened everyone's day in the story.
3,affluent,The _____ neighbourhood had large houses and beautiful gardens.
3,affluent,Her _____ family could afford expensive holidays during the task.
3,affluent,The judge wrote a _____ answer during the match.
3,affluent,He came from an _____ background in the practice session.
3,affluent,The _____ district had the best schools in class.
3,affluent,Her _____ lifestyle allowed many privileges during the lesson.
3,affluent,The _____ community supported local charities at school.
3,affluent,He lived in an _____ part of the city.
3,affluent,The _____ family donated generously on the trip during the activity.
3,affluent,Her _____ upbringing provided many opportunities in the library.
3,agitated,The _____ cat paced back and forth in its cage.
3,agitated,Her _____ expression showed she was worried during the discussion.
3,agitated,The _____ child couldn't sit still in the exercise.
3,agitated,He felt _____ about the upcoming test in the story.
3,agitated,The _____ crowd grew restless that morning during the task.
3,agitated,She became _____ when she couldn't find her keys.
3,agitated,The _____ dog barked constantly during the lesson in the practice session.
3,agitated,He was _____ by the constant noise in class.
3,agitated,The _____ atmosphere made everyone nervous during the lesson.
3,agitated,She tried to calm her _____ feelings at school.
3,agnostic,He described himself as _____ rather than religious during the activity.
3,agnostic,The _____ position was thoughtful in class in the library.
3,agnostic,She held an _____ viewpoint at school during the discussion.
3,agnostic,The _____ perspective was respected during the match in the exercise.
3,agnostic,He explained his _____ beliefs on the trip in the story.
3,agnostic,The _____ stance was philosophical that morning during the task.
3,agnostic,She identified as _____ during the lesson in the practice session.
3,agnostic,His _____ position was well-reasoned in class in class.
3,agnostic,The _____ approach was open-minded at school during the lesson.
3,agnostic,He remained _____ throughout his life at school.
3,agonising,The _____ wait for the exam results seemed endless.
3,agonising,Her _____ decision was difficult to make during the activity.
3,agonising,The _____ experience taught her valuable lessons in the library.
3,agonising,He went through an _____ period of uncertainty during the discussion.
3,agonising,The _____ process required great patience in the exercise.
3,agonising,She found the _____ choice almost impossible in the story.
3,agonising,The _____ moment tested her resolve during the task.
3,agonising,His _____ struggle was finally over in the practice session.
3,agonising,The _____ experience changed her perspective in class.
3,agonising,She endured the _____ wait with courage during the lesson.
3,agreeable,She found her new classmates to be very _____ and kind.
3,agreeable,His _____ nature made him easy to work with.
3,agreeable,The _____ atmosphere made everyone feel welcome at school.
3,agreeable,She had an _____ conversation with her neighbour during the activity.
3,agreeable,The _____ weather made the picnic perfect in the library.
3,agreeable,His _____ response put everyone at ease during the discussion.
3,agreeable,The _____ solution pleased everyone involved in the exercise.
3,agreeable,She maintained an _____ attitude throughout in the story.
3,agreeable,The _____ outcome was better than expected during the task.
