level,word,sentence
4,aberration,The warm weather in January was an _____ from the usual cold.
4,aberration,Such an _____ had never been seen before in class.
4,aberration,The _____ in the pattern was completely unexpected during the lesson.
4,aberration,Everyone noticed the _____ immediately during the lesson at school.
4,aberration,The _____ stood out from the normal routine during the activity.
4,aberration,Such an _____ was rare but not impossible in the library.
4,aberration,The _____ caught everyone by surprise during the discussion.
4,aberration,Her excellent behaviour was an _____ among the troublemakers.
4,aberration,The _____ in the test results puzzled the scientists.
4,aberration,The _____ was unusual for this time of year.
4,abominable,The _____ weather ruined our plans for a picnic.
4,abominable,Everyone agreed that the food was absolutely _____ in the exercise.
4,abominable,His _____ behaviour upset all the teachers in the story.
4,abominable,The _____ smell made everyone leave the room quickly.
4,abominable,She found the conditions completely _____ and unbearable during the task.
4,abominable,The _____ treatment of animals angered many people in the practice session.
4,abominable,His _____ attitude made it impossible to work with him.
4,abominable,The _____ quality of the work was unacceptable in class.
4,abominable,She described the experience as truly _____ during the lesson.
4,abominable,The _____ conditions made life very difficult at school.
4,abomination,The way he treated his pets was an _____.
4,abomination,Everyone agreed that the food was absolutely _____ during the activity.
4,abomination,His _____ behaviour upset all the teachers in the library.
4,abomination,The _____ smell made everyone leave the room quickly.
4,abomination,She found the conditions completely _____ and unbearable during the discussion.
4,abomination,The _____ treatment of animals angered many people in the exercise.
4,abomination,His _____ attitude made it impossible to work with him.
4,abomination,The _____ quality of the work was unacceptable in the story.
4,abomination,She described the experience as truly _____ during the task.
4,abomination,The _____ conditions made life very difficult in the practice session.
4,absolution,The priest granted _____ to those who confessed their mistakes.
4,absolution,She sought _____ for her unkind words in class.
4,absolution,The _____ brought peace to his troubled mind during the lesson.
4,absolution,He asked for _____ from his teacher at school.
4,absolution,The _____ was granted after sincere apology during the activity.
4,absolution,She found _____ through prayer and reflection in the library.
4,absolution,The _____ lifted a great weight from his shoulders.
4,absolution,He received _____ for his wrongdoing during the discussion.
4,absolution,The _____ was a relief to everyone involved in the exercise.
4,absolution,She offered _____ to those who had wronged her.
4,accessible,The new library is _____ to everyone in the community.
4,accessible,The building's _____ design helped wheelchair users in the story.
4,accessible,She appreciated how _____ the online system was during the task.
4,accessible,Improving _____ was the main goal of the renovation.
4,accessible,The _____ of the information helped many people in the long term.
4,accessible,She valued the _____ of the new technology in class.
4,accessible,The _____ made it easy for everyone to participate.
4,accessible,Improving _____ was a priority for the school during the lesson.
4,accessible,The _____ of the location was convenient in the long term.
4,accessible,She praised the _____ of the new facilities during the activity.
4,acquiescence,His quiet _____ surprised those who expected a fight.
4,acquiescence,The _____ of the decision was unexpected in the long term.
4,acquiescence,Her _____ showed she understood the situation during the discussion.
4,acquiescence,The _____ came after much discussion in the exercise.
4,acquiescence,His _____ was met with relief by everyone in the story.
4,acquiescence,The class asked about the _____ after the storm.
4,acquiescence,Her _____ prevented further conflict in class during the task.
4,acquiescence,The _____ was a sign of maturity in the practice session.
4,acquiescence,His _____ showed wisdom beyond his years in class.
4,acquiescence,The _____ ended the long disagreement during the lesson.
4,acrimonious,The _____ argument between the siblings lasted for hours.
4,acrimonious,The _____ argument lasted for hours at school.
4,acrimonious,Her _____ words hurt everyone who heard them during the activity.
4,acrimonious,The _____ tone made everyone uncomfortable in the library.
4,acrimonious,Such an _____ disagreement was unusual during the discussion.
4,acrimonious,The _____ nature of the conflict was clear in the exercise.
4,acrimonious,Her _____ response surprised everyone at school in the story.
4,acrimonious,The _____ exchange left everyone upset during the task.
4,acrimonious,Such _____ was unnecessary and harmful in the practice session.
4,acrimonious,The _____ atmosphere was tense during the match in class.
4,adulation,The famous actor received _____ from fans wherever he went.
4,adulation,Her _____ of the teacher was genuine but excessive.
4,adulation,The _____ made him feel uncomfortable during the lesson.
4,adulation,Such _____ was unusual for a new student at school.
4,adulation,The _____ from the crowd was overwhelming during the activity.
4,adulation,Her _____ of the book was enthusiastic in the library.
4,adulation,The _____ was well-deserved but surprising during the discussion.
4,adulation,Such _____ was rare in their school in the exercise.
4,adulation,The _____ boosted his confidence greatly in the story.
4,adulation,Her _____ showed her deep appreciation during the task.
4,adventurous,The _____ explorer set off to discover new lands.
4,adventurous,The _____ explorer ventured into unknown territory in the practice session.
4,adventurous,Her _____ spirit led her to try new things.
4,adventurous,He showed an _____ attitude towards challenges in class.
4,adventurous,The _____ child loved climbing trees during the lesson.
4,adventurous,Her _____ nature made her try skydiving at school.
4,adventurous,The _____ student volunteered for the difficult task during the activity.
4,adventurous,His _____ approach impressed the teachers in the library.
4,adventurous,The coach used a _____ approach in class during the discussion.
4,adventurous,The _____ traveller visited dangerous places in the exercise.
4,affinity,She felt an _____ with nature and loved spending time outdoors.
4,affinity,His _____ for music was evident from a young age.
4,affinity,The _____ between them was immediate in the story.
4,affinity,Her _____ with animals made her want to be a vet.
4,affinity,The _____ was clear to everyone who knew them.
4,affinity,His _____ for mathematics led to his career choice.
4,affinity,The _____ she felt was natural and strong during the task.
4,affinity,His _____ with the subject made learning easy in the practice session.
4,affinity,The _____ was mutual and lasting in class.
4,affinity,Her _____ for reading began in primary school during the lesson.
4,affirmation,His _____ of her talent gave her confidence to continue.
4,affirmation,The teacher's _____ encouraged the student greatly at school.
4,affirmation,Her _____ was exactly what he needed to hear.
4,affirmation,The _____ came at just the right moment during the activity.
4,affirmation,His _____ meant more than he realised in the library.
4,affirmation,The _____ boosted her self-esteem on the trip during the discussion.
4,affirmation,Her _____ was sincere and heartfelt in the exercise.
4,affirmation,The inspector asked about the _____ during the trip.
4,affirmation,His _____ gave her the courage to try again.
4,affirmation,The _____ was a turning point for her in the story.
4,affliction,The poor family faced many _____ but never lost hope.
4,affliction,Her _____ was visible to everyone who knew her.
4,affliction,The _____ affected the entire community during the task.
4,affliction,His _____ was difficult to bear alone in the practice session.
4,affliction,The _____ seemed endless at times in class.
4,affliction,The gardener described the _____ during practice during the lesson.
4,affliction,The _____ tested their strength and resilience at school.
4,affliction,His _____ was met with support from friends during the activity.
4,affliction,The _____ was a challenge they overcame together in the library.
4,affliction,Her _____ made her stronger in the end during the discussion.
4,alacrity,She accepted the invitation with _____ and arrived early.
4,alacrity,The mayor discussed the _____ on the stage in the exercise.
4,alacrity,The _____ quality was evident immediately in the story.
4,alacrity,She showed a _____ nature that everyone admired during the task.
4,alacrity,The _____ characteristic made him stand out in the practice session.
4,alacrity,His _____ response surprised everyone that morning in class.
4,alacrity,The _____ way she acted was remarkable during the lesson.
4,alacrity,She demonstrated a truly _____ character at school.
4,alacrity,The _____ trait was her greatest strength during the activity.
4,alacrity,His _____ attitude impressed the teachers in the library.
4,altercation,A loud _____ broke out between the two neighbours.
4,altercation,The _____ could be heard from down the street.
4,altercation,Her _____ with her brother lasted all afternoon during the discussion.
4,altercation,The _____ was about something trivial in the exercise.
4,altercation,Such an _____ was unusual for their family in the story.
4,altercation,The _____ ended when their parents intervened during the task.
4,altercation,Her _____ showed her strong feelings in the practice session.
4,altercation,The librarian described the _____ in the debate in class.
4,altercation,Such an _____ was embarrassing in public during the lesson.
4,altercation,The _____ started over a small misunderstanding at school.
4,altruistic,Her _____ nature led her to volunteer at the shelter.
4,altruistic,Her _____ nature led her to volunteer regularly during the activity.
4,altruistic,His _____ actions inspired others to help too in the library.
4,altruistic,The teacher asked a _____ question during assembly during the discussion.
4,altruistic,The _____ teacher always put her students first in the exercise.
4,altruistic,His _____ words comforted the worried family in the story.
4,altruistic,She demonstrated a truly _____ character during the task.
4,altruistic,The _____ organisation helped thousands of people in the practice session.
4,altruistic,His _____ behaviour was admired by everyone in class.
4,altruistic,She showed _____ concern for others' welfare during the lesson.
4,ambivalence,She felt _____ about moving to a new city.
4,ambivalence,His _____ made decision-making difficult during the lesson at school.
4,ambivalence,The _____ was clear in her expression during the activity.
4,ambivalence,Her _____ prevented her from choosing in the library.
4,ambivalence,The _____ lasted for several weeks during the discussion.
4,ambivalence,His _____ was understandable given the situation in the exercise.
4,ambivalence,The _____ made her hesitate in class in the story.
4,ambivalence,His sister wrote a _____ answer at home during the task.
4,ambivalence,The team used a _____ approach before the exam.
4,ambivalence,His _____ showed he was thinking carefully in the practice session.
4,androgynous,The _____ fashion style appealed to many young people.
4,androgynous,The _____ fashion style was modern in class.
4,androgynous,Her _____ look was unique at school during the lesson.
4,androgynous,The _____ design appealed to everyone at school.
4,androgynous,Such _____ was fashionable during the match during the activity.
4,androgynous,The _____ style was popular on the trip in the library.
4,androgynous,Her _____ appearance was striking that morning during the discussion.
4,androgynous,The _____ nature was interesting during the lesson in the exercise.
4,androgynous,Such _____ was contemporary in class in the story.
4,androgynous,The _____ trend was growing at school during the task.
4,animosity,There was _____ between the rival football teams in the practice session.
4,animosity,The _____ had existed for many years in class.
4,animosity,Her _____ was evident in her words during the lesson.
4,animosity,The _____ made cooperation impossible during the match at school.
4,animosity,Such _____ was unnecessary and harmful during the activity.
4,animosity,The _____ affected everyone involved on the trip in the library.
4,animosity,Her _____ prevented any reconciliation that morning during the discussion.
4,animosity,The _____ was deep-rooted and lasting in the exercise.
4,animosity,Such _____ was difficult to overcome in the story.
4,animosity,The _____ poisoned their relationship during the lesson during the task.
4,antagonistic,His _____ attitude made it hard to work with him.
4,antagonistic,The _____ behaviour was unhelpful in class in the practice session.
4,antagonistic,Her _____ nature prevented cooperation at school in class.
4,antagonistic,The _____ response was expected during the match during the lesson.
4,antagonistic,Such _____ was counterproductive on the trip at school.
4,antagonistic,The _____ attitude was problematic that morning during the activity.
4,antagonistic,His _____ behaviour annoyed everyone during the lesson in the library.
4,antagonistic,The _____ nature was clear in class during the discussion.
4,antagonistic,Such _____ was unnecessary at school in the exercise.
4,antagonistic,The _____ quality was remarkable during the match in the story.
4,antiquity,The museum displayed artefacts from _____ during the task.
4,antiquity,Her interest in _____ led to studying history in the practice session.
4,antiquity,The _____ fascinated archaeologists for centuries in class.
4,antiquity,Learning about _____ was her favourite subject during the lesson.
4,antiquity,The _____ held many secrets yet to be discovered.
4,antiquity,Her knowledge of _____ was impressive at school.
4,antiquity,The _____ provided clues about past civilisations during the activity.
4,antiquity,Studying _____ helped her understand the present in the library.
4,antiquity,The _____ was a period of great change during the discussion.
4,antiquity,Her fascination with _____ began in primary school in the exercise.
4,apoplectic,He was _____ when he discovered his car had been scratched.
4,apoplectic,He became _____ when he discovered what had happened.
4,apoplectic,Her _____ response surprised everyone in the room in the story.
4,apoplectic,The _____ customer demanded to speak to the manager.
4,apoplectic,His _____ outburst shocked all the students during the task.
4,apoplectic,She was absolutely _____ about the unfair treatment in the practice session.
4,apoplectic,The _____ reaction was completely understandable in class.
4,apoplectic,He turned _____ after hearing the bad news during the lesson.
4,apoplectic,Her _____ expression showed her true feelings at school.
4,apoplectic,The _____ tone of his voice was alarming during the activity.
4,apparition,The old castle was said to be haunted by a pale _____.
4,apparition,She claimed to have seen an _____ in the hallway.
4,apparition,The _____ appeared only at midnight in the library.
4,apparition,Many people reported seeing the mysterious _____ during the discussion.
4,apparition,The _____ was said to be a former resident.
4,apparition,Her story about the _____ frightened her friends in the exercise.
4,apparition,The _____ was never seen during daylight in the story.
4,apparition,Legends told of the _____ that haunted the house.
4,apparition,The _____ appeared and disappeared mysteriously during the task.
4,apparition,She didn't believe in _____ until that night in the practice session.
4,appearance,Her neat _____ impressed the interviewers in class.
4,appearance,The _____ was important for understanding the situation during the lesson.
4,appearance,Her _____ impressed everyone who knew her at school.
4,appearance,The _____ became clear as the story unfolded during the activity.
4,appearance,His _____ was evident from his actions in the library.
4,appearance,The _____ made a significant difference during the discussion.
4,appearance,Her _____ was appreciated by everyone in the exercise.
4,appearance,The _____ was the key to solving the problem.
4,appearance,His _____ showed his true character in the story.
4,appearance,The _____ was remembered for years during the task.
4,apprehension,A sense of _____ washed over him as he waited outside the interview room.
4,apprehension,The _____ was visible on his face in the practice session.
4,apprehension,Her _____ prevented her from trying new things in class.
4,apprehension,The _____ was understandable given the circumstances during the lesson.
4,apprehension,His _____ lessened as he gained experience at school.
4,apprehension,The _____ made her hesitate before speaking during the activity.
4,apprehension,He felt _____ about starting his new job in the library.
4,apprehension,The _____ was temporary and soon passed during the discussion.
4,apprehension,His _____ showed he cared about doing well in the exercise.
4,apprehension,The _____ was replaced by confidence eventually in the story.
4,apprehensive,She was _____ about speaking in front of the class.
4,apprehensive,His _____ expression showed his concern during the task.
4,apprehensive,The _____ student hesitated before answering in the practice session.
4,apprehensive,Her _____ nature made her avoid new situations in class.
4,apprehensive,He felt _____ about the upcoming test during the lesson.
4,apprehensive,The _____ look on her face was clear at school.
4,apprehensive,Being _____ prevented her from trying new things during the activity.
4,apprehensive,His _____ attitude was understandable on the trip in the library.
4,apprehensive,The _____ student needed encouragement that morning during the discussion.
4,apprehensive,She was too _____ to take the risk in the exercise.
4,aspiration,Her _____ was to become an astronaut one day.
4,aspiration,His _____ motivated him to work hard in the story.
4,aspiration,His sister discussed the _____ at home during the task.
4,aspiration,Her _____ seemed impossible but she never gave up.
4,aspiration,The _____ drove her to excel in science in the practice session.
4,aspiration,His _____ was to help others through medicine in class.
4,aspiration,The _____ was her guiding light during the lesson.
4,aspiration,Her _____ required years of dedication at school.
4,aspiration,The _____ was ambitious but achievable during the activity.
4,aspiration,His _____ inspired others to dream big too in the library.
4,assistance,The kind stranger offered _____ when her car broke down.
4,assistance,His _____ was greatly appreciated during the lesson during the discussion.
4,assistance,She was grateful for the _____ she received in the exercise.
4,assistance,The _____ came just when it was needed in the story.
4,assistance,His _____ made all the difference during the task.
4,assistance,The _____ was offered willingly and freely in the practice session.
4,assistance,Her _____ was invaluable during the crisis in class.
4,assistance,The _____ showed true kindness in class during the lesson.
4,assistance,His _____ was remembered for years at school.
4,assistance,The reporter noticed the _____ after lunch during the activity.
4,assumption,His _____ that she was angry turned out to be wrong.
4,assumption,The team pointed out the _____ before the exam.
4,assumption,Her _____ proved to be incorrect in the library.
4,assumption,The _____ led to misunderstandings at school during the discussion.
4,assumption,His _____ was based on incomplete information in the exercise.
4,assumption,The _____ was challenged by new evidence in the story.
4,assumption,Her _____ seemed reasonable at the time during the task.
4,assumption,The _____ was common but not necessarily true in the practice session.
4,assumption,A visitor discussed the _____ at the market in class.
