word,assigned_level,short_reason,sources,difficulty_score
Abandon,level2,"frequency: seen regularly, though slightly less everyday; concept: understandable but can vary by context; structure: not difficult to spell, but longer than everyday words; nuance: sometimes overlaps with similar words",11PlusGuideY5-6|ExamNinja,2.25
Abashed,level2,"frequency: common, but not constant in daily talk | concept: mostly clear, with a slightly broader meaning | structure: not difficult to spell, but longer than everyday words | nuance: sometimes overlaps with similar wor",TrickyList2024,2.25
Abate,level1,frequency: very common in everyday speech | concept: simple meaning tied to everyday situations | structure: longer spelling and likely more syllables | nuance: used in a straightforward way,11PlusSuccess2019-2020|ExamNinja,1.75
Abbreviate,level3,"frequency: more bookish and not used daily — concept: more nuanced than a simple everyday term — structure: extended spelling, which can slow reading — nuance: often used in a particular register (formal/precise)",TrickyList2024,3.25
Abduct,level1,frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: few syllables and easy to decode — nuance: usually literal and unambiguous,TrickyList2024,2.0
Aberrant,level3,frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: longer spelling and likely more syllables; nuance: used for precise shades of meaning,ExamNinja,3.0
Aberration,level4,"frequency: rare; mainly found in advanced or academic texts | concept: sophisticated idea that needs careful interpretation | structure: has the suffix “-tion”, which often appears in formal vocabulary | nuance: strong c",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,4.0
Abhor,level1,"frequency: very common in everyday speech; concept: easy, straightforward idea; structure: “-or” ending makes it more multi-syllable; nuance: used in a straightforward way",TrickyList2024,1.75
Abhorrent,level3,frequency: less common; often appears in formal writing; concept: abstract or specialised idea; structure: longer spelling and likely more syllables; nuance: can be confused with near‑synonyms if used loosely,TrickyList2024|ExamNinja,3.0
Ablest,level1,"frequency: very common in everyday speech — concept: easy, straightforward idea — structure: few syllables and easy to decode — nuance: used in a straightforward way",11PlusSuccess2019-2020|ExamNinja,2.0
Abode,level1,"frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: not difficult to spell, but longer than everyday words — nuance: used in a straightforward way",11PlusGuideY5-6|11PlusSuccess2019-2020|ExamNinja,1.75
Abominable,level4,"frequency: low‑frequency, high‑level vocabulary — concept: highly nuanced or abstract — structure: has the suffix “-able”, which often appears in formal vocabulary — nuance: meaning can be delicate and context‑dependent",ExamNinja,3.5
Abomination,level4,"frequency: low‑frequency, high‑level vocabulary; concept: sophisticated idea that needs careful interpretation; structure: has the suffix “-tion”, which often appears in formal vocabulary; nuance: subtle register and con",ExamNinja,4.0
Abrasive,level3,"frequency: more bookish and not used daily; concept: abstract or specialised idea; structure: has the suffix “-ive”, which often appears in formal vocabulary; nuance: can be confused with near‑synonyms if used loosely",TrickyList2024|11PlusSuccess2019-2020|ExamNinja,3.0
Absence,level2,"frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: has the suffix “-ence”, which often appears in formal vocabulary — nuance: sometimes overlaps with similar w",11PlusGuideY5-6|ExamNinja,2.5
Absolute,level2,"frequency: common, but not constant in daily talk | concept: understandable but can vary by context | structure: longer spelling and likely more syllables | nuance: sometimes overlaps with similar words",ExamNinja,2.75
Absolution,level4,"frequency: rare; mainly found in advanced or academic texts — concept: sophisticated idea that needs careful interpretation — structure: ends with “-tion”, a common but longer word ending — nuance: subtle register and co",11PlusSuccess2019-2020|ExamNinja,4.0
Absorbed,level2,"frequency: seen regularly, though slightly less everyday; concept: moderately abstract compared with basic words; structure: longer spelling and likely more syllables; nuance: sometimes overlaps with similar words",ExamNinja,2.75
Abstract,level2,"frequency: seen regularly, though slightly less everyday; concept: mostly clear, with a slightly broader meaning; structure: medium length with more to sound out; nuance: meaning shifts slightly across contexts",ExamNinja,2.75
Abstruse,level2,frequency: fairly common in books and schoolwork — concept: moderately abstract compared with basic words — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally,ExamNinja,2.75
Absurd,level1,frequency: very common in everyday speech — concept: clear and concrete — structure: short and simple in form — nuance: usually literal and unambiguous,11PlusGuideY5-6|ExamNinja,2.0
Abundance,level3,"frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: ends with “-ance”, a common but longer word ending; nuance: used for precise shades of meaning","11PlusGuideY5-6,TrickyList2024|11PlusSuccess2019-2020|ExamNinja",3.0
Abundant,level3,frequency: more bookish and not used daily | concept: abstract or specialised idea | structure: medium length with more to sound out | nuance: used for precise shades of meaning,11PlusGuideY5-6|ExamNinja,3.0
Abysmal,level2,"frequency: fairly common in books and schoolwork — concept: mostly clear, with a slightly broader meaning — structure: ends with “-al”, a common but longer word ending — nuance: can be used figuratively as well as litera",TrickyList2024,2.25
Abyss,level1,frequency: very common in everyday speech | concept: simple meaning tied to everyday situations | structure: short and simple in form | nuance: meaning is rarely confused,TrickyList2024,1.75
