word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
abandon,to leave behind or give up completely,desert,forsake,keep,retain,The sailors had to abandon the sinking ship before it went under.
abashed,embarrassed or ashamed,embarrassed,ashamed,confident,proud,She felt abashed when she realised she had forgotten her friend's birthday.
abate,to become less strong or intense,decrease,subside,increase,intensify,The storm began to abate by evening and the winds grew calmer.
abbreviate,to make something shorter,shorten,condense,lengthen,extend,We can abbreviate the word 'doctor' to 'Dr' when writing addresses.
abduct,to take someone away by force,kidnap,seize,release,free,The villain tried to abduct the princess from the castle.
aberrant,different from what is normal or expected,abnormal,unusual,normal,typical,His aberrant behaviour during the lesson surprised his classmates.
aberration,something that is not normal or expected,anomaly,deviation,norm,standard,The warm weather in January was an aberration from the usual cold.
abhor,to hate something very strongly,detest,loathe,love,adore,I abhor cruelty to animals and always speak up against it.
abhorrent,causing strong feelings of hatred or disgust,hateful,disgusting,pleasant,delightful,The villain's abhorrent actions shocked everyone in the village.
ablest,most able or skilled,most capable,most skilled,least able,weakest,She was the ablest student in the class and always scored top marks.
abode,a place where someone lives,home,dwelling,workplace,office,The old cottage was their humble abode for many years.
abominable,very bad or unpleasant,dreadful,terrible,wonderful,excellent,The abominable weather ruined our plans for a picnic.
abomination,something that is very bad or hated,disgrace,outrage,blessing,delight,The way he treated his pets was an abomination.
abrasive,rough or harsh in manner or texture,harsh,rough,gentle,smooth,His abrasive comments upset several of his classmates.
absence,the state of being away or not present,nonattendance,lack,presence,attendance,Her absence from school was noticed by all her teachers.
absolute,complete or total,complete,total,partial,limited,The judge demanded absolute silence in the courtroom.
absolution,forgiveness for wrongdoing,forgiveness,pardon,blame,condemnation,The priest granted absolution to those who confessed their mistakes.
absorbed,deeply interested or fully engaged in something,engrossed,captivated,distracted,bored,She was so absorbed in her book that she missed her bus stop.
abstract,existing as an idea rather than something physical,theoretical,conceptual,concrete,tangible,Love and happiness are abstract concepts that are hard to define.
abstruse,difficult to understand,complex,obscure,simple,clear,The professor's abstruse lecture confused most of the students.
absurd,completely unreasonable or silly,ridiculous,foolish,sensible,reasonable,It was absurd to think we could walk fifty miles in one day.
abundance,a very large quantity of something,plenty,profusion,scarcity,shortage,The garden had an abundance of colourful flowers in summer.
abundant,existing in large quantities,plentiful,ample,scarce,rare,Wildlife was abundant in the forest near our village.
abysmal,extremely bad or poor,dreadful,terrible,excellent,superb,The team's abysmal performance led to their defeat.
abyss,a very deep hole or gap,chasm,void,peak,summit,The climber peered into the dark abyss below the cliff.
accessible,easy to reach or use,available,reachable,inaccessible,unreachable,The new library is accessible to everyone in the community.
acclaim,praise and approval from many people,praise,applause,criticism,disapproval,The young author received much acclaim for her first novel.
accolade,an award or praise for achievement,honour,award,criticism,rebuke,Winning the prize was the highest accolade of her career.
accusatory,suggesting that someone has done something wrong or harmful,blaming,accusing,praising,supportive,His accusatory tone made her feel unfairly treated.
accuse,to say that someone has done something wrong or illegal,blame,charge,defend,exonerate,She did not accuse her brother even though he broke the vase.
accustom,to make familiar with something through practice,familiarise,adapt,alienate,estrange,It took time to accustom herself to the new school routine.
acerbic,sharp and critical in tone,biting,caustic,kind,gentle,His acerbic remarks hurt the feelings of his teammates.
acquainted,familiar with someone or something,familiar,aware,unfamiliar,ignorant,She became acquainted with her new neighbours over tea.
acquiescence,acceptance without protest,agreement,consent,resistance,opposition,His quiet acquiescence surprised those who expected a fight.
acquire,to get or obtain something,obtain,gain,lose,forfeit,She worked hard to acquire the skills needed for the job.
acrimonious,angry and bitter in tone,bitter,hostile,friendly,cordial,The acrimonious argument between the siblings lasted for hours.
acronym,a word formed from the first letters of other words,abbreviation,initialism,expansion,full form,NASA is an acronym for National Aeronautics and Space Administration.
acute,very serious or severe,severe,intense,mild,slight,She felt acute pain in her ankle after the fall.
adamant,refusing to change one's mind,firm,determined,flexible,yielding,He was adamant that he would finish the race despite his injury.
adequately,in a way that is good enough,sufficiently,satisfactorily,inadequately,poorly,The project was adequately completed before the deadline.
adhere,to stick to or follow closely,stick,cling,detach,separate,The stamp would not adhere to the damp envelope.
adherent,a person who supports a particular belief or leader,supporter,follower,opponent,critic,She was a devoted adherent of the conservation movement.
adjacent,next to or beside something,neighbouring,adjoining,distant,remote,The park is adjacent to the school playground.
adjourn,to pause or postpone a meeting,postpone,suspend,continue,resume,The judge decided to adjourn the court until the next morning.
admirable,deserving respect and approval,praiseworthy,commendable,shameful,disgraceful,Her admirable courage inspired everyone around her.
admission,the act of being allowed to enter or accepting something,entry,access,rejection,exclusion,Admission to the museum is free on Sundays.
adopt,to choose to take up or legally take a child as your own,embrace,accept,reject,abandon,The family decided to adopt a rescue dog from the shelter.
adore,to love someone or something very much,love,worship,hate,despise,The children adore their grandmother who tells wonderful stories.
adorn,to decorate or make more attractive,decorate,embellish,strip,bare,Colourful lights adorn the town centre during the festive season.
adulation,excessive praise or admiration,praise,flattery,criticism,condemnation,The famous actor received adulation from fans wherever he went.
advance,to move forward or make progress,progress,proceed,retreat,regress,The army began to advance towards the enemy position.
adventurous,willing to take risks and try new things,bold,daring,cautious,timid,The adventurous explorer set off to discover new lands.
adversary,an enemy or opponent,opponent,rival,ally,friend,The chess player studied the moves of his adversary carefully.
adverse,harmful or unfavourable,unfavourable,negative,favourable,positive,The adverse weather conditions forced the plane to land early.
