word,meaning,synonyms,antonyms,example_sentences
abandon,"to leave something or someone behind","[""leave"", ""desert"", ""forsake""]","[""keep"", ""stay"", ""continue""]","[""The sailors had to abandon the sinking ship.""]"
abate,"to become less intense or widespread","[""decrease"", ""diminish"", ""subside""]","[""escalate"", ""increase"", ""intensify""]","[""The storm began to abate by evening.""]"
abbreviate,"to make something shorter","[""shorten"", ""reduce"", ""condense""]","[""lengthen"", ""extend"", ""expand""]","[""We can abbreviate the word 'doctor' to 'Dr'.""]"
aberrant,"departing from the accepted standard","[""abnormal"", ""anomalous"", ""deviant""]","[""normal"", ""standard"", ""typical""]","[""His aberrant behaviour concerned his teachers.""]"
aberration,"something that differs from what is normal","[""deviation"", ""anomaly"", ""irregularity""]","[""norm"", ""standard"", ""regularity""]","[""The warm weather in January was an aberration.""]"
abhor,"to regard with disgust and hatred","[""detest"", ""loathe"", ""despise""]","[""love"", ""adore"", ""admire""]","[""I abhor cruelty to animals.""]"
abjure,"to solemnly renounce a belief","[""abandon"", ""reject"", ""renounce""]","[""accept"", ""adopt"", ""embrace""]","[""He had to abjure his former allegiance.""]"
abolish,"to officially end or get rid of something","[""cancel"", ""eliminate"", ""end"", ""remove""]","[""create"", ""establish"", ""introduce""]","[""The government voted to abolish the old law."", ""The school decided to abolish homework on Fridays.""]"
abolition,"the act of officially ending something","[""elimination"", ""termination"", ""ending""]","[""establishment"", ""introduction"", ""creation""]","[""The abolition of slavery was a historic moment.""]"
abrasive,"showing little concern for others; harsh","[""coarse"", ""harsh"", ""irritating"", ""rough""]","[""gentle"", ""pleasant"", ""smooth""]","[""His abrasive manner offended everyone."", ""His abrasive personality made him unpopular.""]"
abrupt,"sudden and unexpected; or rude in manner","[""sudden"", ""unexpected"", ""curt""]","[""gradual"", ""gentle"", ""polite""]","[""The car came to an abrupt stop.""]"
abscond,"to leave hurriedly and secretly","[""escape"", ""flee"", ""run away""]","[""remain"", ""stay"", ""surrender""]","[""The thief tried to abscond with the jewels.""]"
absent,"not present in a place","[""away"", ""missing"", ""gone""]","[""present"", ""here"", ""attending""]","[""Tom was absent from school because he was ill.""]"
absorb,"to soak up liquid or take in information","[""soak"", ""take in"", ""learn""]","[""release"", ""emit"", ""repel""]","[""The sponge will absorb all the water.""]"
abstain,"to choose not to do something","[""avoid"", ""decline"", ""refrain""]","[""engage"", ""indulge"", ""participate""]","[""I decided to abstain from eating sweets."", ""She decided to abstain from voting.""]"
abstinence,"the practice of choosing not to do or have something","[""self-denial"", ""restraint"", ""avoidance""]","[""indulgence"", ""excess"", ""participation""]","[""He practiced abstinence from sweets for a week.""]"
abstract,"existing as an idea rather than physically","[""theoretical"", ""conceptual"", ""intangible""]","[""concrete"", ""physical"", ""tangible""]","[""Love is an abstract concept.""]"
abstruse,"difficult to understand","[""complex"", ""esoteric"", ""obscure""]","[""clear"", ""obvious"", ""simple""]","[""The professor's abstruse lecture confused the students.""]"
absurd,"completely silly or unreasonable","[""ridiculous"", ""silly"", ""foolish""]","[""sensible"", ""reasonable"", ""logical""]","[""It would be absurd to go swimming in winter.""]"
